Accession Number,Transcript Id,FPKM Value
NW_006432224.1,10557,12.09
NW_006432224.1,10558,13.14
NW_006432224.1,10559,17.3
NW_006429782.1,1056,8.38
NW_006432224.1,10560,5.83
NW_006432224.1,10561,2.31
NW_006432224.1,10562,0.0
NW_006432224.1,10563,0.59
NW_006432224.1,10564,13.27
NW_006432224.1,10565,0.0
NW_006432224.1,10566,3.58
NW_006432224.1,10567,2.05
NW_006432224.1,10568,2.62
NW_006432224.1,10569,6.08
NW_006429782.1,1057,2.31
NW_006432224.1,10570,55.77
NW_006432224.1,10571,18.19
NW_006432224.1,10572,0.0
NW_006432224.1,10573,8.87
NW_006432224.1,10574,3.39
NW_006432224.1,10575,11.91
NW_006432224.1,10576,18.76
NW_006432224.1,10577,5.91
NW_006432224.1,10578,4.28
NW_006432224.1,10579,4.85
NW_006429782.1,1058,8.23
NW_006432224.1,10580,8.18
NW_006432224.1,10581,26.33
NW_006432224.1,10582,9.8
NW_006432224.1,10583,16.46
NW_006432224.1,10584,18.51
NW_006432224.1,10585,2.61
NW_006432224.1,10586,3.7
NW_006432224.1,10587,6.38
NW_006432224.1,10588,4.62
NW_006432224.1,10589,1.54
NW_006429782.1,1059,2.52
NW_006432224.1,10590,5.37
NW_006432224.1,10591,3.18
NW_006432224.1,10592,2.27
NW_006432224.1,10593,4.77
NW_006432224.1,10594,5.63
NW_006432224.1,10595,1.51
NW_006432224.1,10596,0.0
NW_006432224.1,10597,2.36
NW_006432224.1,10598,4.34
NW_006432224.1,10599,3.16
NW_006429596.1,106,8.54
NW_006429782.1,1060,1.93
NW_006432224.1,10600,6.43
NW_006432224.1,10601,3.9
NW_006432224.1,10602,3.25
NW_006432224.1,10603,5.4
NW_006432224.1,10604,6.45
NW_006432224.1,10605,3.91
NW_006432224.1,10606,10.44
NW_006432224.1,10607,13.99
NW_006432224.1,10608,4.83
NW_006432224.1,10609,2.64
NW_006429782.1,1061,4.12
NW_006432224.1,10610,3.11
NW_006432224.1,10611,2.91
NW_006432224.1,10612,2.16
NW_006432224.1,10613,0.0
NW_006432224.1,10614,3.43
NW_006432224.1,10615,6.15
