Accession,FPKM
XM_006907042.1,5.23
"100.00
",4.83
XM_015585673.1,1.01
XM_006906967.2,14.54
XM_006906968.2,0.0
XM_015585658.1,7.53
XM_015585659.1,10.05
XM_015585659.1,0.0
XM_006906975.2,25.6
XM_006906975.2,0.0
"100.00
",5.43
XM_006906976.2,6.59
,,,
XM_006906976.2,7.13
XM_006906980.2,0.0
XM_006906983.2,12.68
XM_006906988.2,2492.39
XM_006906988.2,24.25
XM_006906988.2,20.51
XM_006906988.2,2910.62
XM_006906988.2,27.18
XM_006906988.2,6.15
XM_006906988.2,18.88
,,,
XM_006906989.2,5.79
XM_006906998.2,9.6
XM_006906998.2,0.29
XM_015585588.1,6.34
XM_006907056.2,5.09
XM_006907056.2,2.26
XM_006907056.2,4.18
XM_006907056.2,3.18
XM_006907056.2,0.0
XM_006907056.2,5.62
,,,
XM_006907056.2,0.61
XM_006907000.2,4.41
XM_006907000.2,25.89
XM_006907001.2,10.49
XM_015585603.1,4.83
XM_006907008.2,22.75
XM_015585623.1,4.78
XM_015585621.1,4.55
XM_015585620.1,4.81
XM_015585621.1,2.22
,,,
XM_015585623.1,1.96
XM_015585621.1,7.05
XM_015585621.1,0.0
XM_015585581.1,2.29
XM_006907016.2,2.35
XM_006907020.1,1.66
XM_006907029.2,21.82
XM_015585671.1,3.38
XM_015585671.1,2.44
XM_015585671.1,21.27
,,,
XM_006907033.2,69.19
XM_015585580.1,1.16
XM_015585581.1,5.32
XM_006906958.2,0.0
XM_006907040.2,1.32
,,,
,,,
,,,
XM_015585688.1,1.92
XM_015585684.1,11.34
XR_001516501.1,2.32
XM_015585684.1,4.58
,,,
XM_015585686.1,15.6
XM_015585686.1,0.0
XM_015585686.1,4.75
XM_015585686.1,8.24
XM_015585688.1,145.3
XM_015585688.1,144.78
"100.00
",3.41
,,,
,,,
XM_006907072.2,14.68
XM_006907072.2,10.91
XM_006907072.2,1.0
XM_006907072.2,9.16
XM_006907072.2,3.29
XM_006907073.2,1.28
XM_006907073.2,0.7
XM_006907073.2,45.22
,,,
XM_015585693.1,9.34
XM_015587863.1,9.77
,,,
XM_015585693.1,0.95
XM_015585693.1,3.05
XM_015585693.1,7.76
XM_015585693.1,3.48
XM_015585693.1,2.27
XM_015585693.1,0.0
XM_015585693.1,5.19
XM_015585693.1,2.81
XM_015585693.1,6.6
XM_015585693.1,0.0
XM_015600230.1,2.44
XM_015585696.1,3.44
XM_015585696.1,1.07
XM_015585696.1,1.24
XM_006907081.2,9.53
XM_006907081.2,2.26
XM_015585700.1,2.7
XM_015585700.1,0.0
XM_006907096.2,10.88
XM_015585702.1,14.75
XM_015585702.1,0.0
,,,
XM_015585702.1,0.0
XM_015585702.1,7.65
XM_015585714.1,3.16
XM_015585714.1,1.0
XM_015585714.1,4.49
XM_015585706.1,41.87
XM_015585708.1,151.95
XM_015585708.1,8.09
,,,
XR_001516459.1,9.6
XM_006904047.2,0.0
XR_001516450.1,2.27
XM_015585712.1,0.0
XM_015585711.1,20.32
XM_015585713.1,5.39
XM_015585712.1,2.73
,,,
XM_006907077.2,1.35
XM_006907077.2,11.34
XR_001516459.1,1.35
XR_001516459.1,5.08
,,,
XR_001516459.1,0.0
XR_001516459.1,0.0
XR_001516459.1,1.55
,,,
XR_001516459.1,1.82
XR_001516456.1,0.0
XR_001516453.1,3.68
XR_001516453.1,1.55
XR_001516452.1,4.31
XM_015585715.1,4.22
,,,
XM_015585715.1,54.84
XM_015585715.1,6.18
XM_015585717.1,16.57
XM_015585701.1,0.0
XM_015585701.1,3.96
,,,
XM_015585701.1,9.51
XM_015585701.1,3.47
XM_006907082.2,26.98
XM_006907082.2,19.29
,,,
XM_015585705.1,0.0
XM_015585705.1,26.16
XR_001516451.1,3.78
XM_015585705.1,23.74
XM_015585701.1,2.07
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_006907073.2,0.95
,,,
,,,
,,,
,,,
,,,
,,,
,,,
XM_015585712.1,3.11
,,,
XM_006907077.2,14.48
XM_006907077.2,23.22
,,,
,,,
,,,
XM_006904049.2,1.7
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
